iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7564298961717878,0.002603215498186486,0.756421798994593,0.0008024515042780072,0.6215496911714513,0.0007123098058261325,0.6214582250966766,0.0007574675010150882
1,0.7535995293406008,0.00830414962437835,0.7531939569698471,0.006561672701242244,0.5801068414120942,0.0014386703992109197,0.580151545886467,0.0005225456922858294
2,0.7612919260621204,0.005893108183240838,0.7613009363416445,0.0059665229037029945,0.5551631375217239,0.001749959696990165,0.555162766160774,0.0005675705458610027
3,0.7657514003050162,0.0032057730233724393,0.765149969280067,0.001943866405944473,0.5377539637360884,0.0018573254322780356,0.5378947341480499,0.00084408494216559
4,0.7660693669311401,0.0046150539165854985,0.7667418819460323,0.0015499916521070664,0.5272162780432137,0.0021813979621130033,0.5272042734279838,0.0008095269233305087
5,0.7679518990025762,0.0025797955484714668,0.7686704569860369,0.0004519906755125823,0.5188506828120281,0.0022531970554135407,0.5188217452942963,0.001063616028398951
6,0.7688269222798145,0.0031250737344673354,0.7688414128856597,0.0010526742806664252,0.5135902036925358,0.002424742376364768,0.5135584119416642,0.0011322844136998989
7,0.7702721228251255,0.0022781675184216435,0.7699096389288153,0.0010450088180905667,0.5096334738354982,0.0024673006488255683,0.5096581037662593,0.0010507031389918166
8,0.770255090653279,0.002512354550339108,0.7705363009873608,0.0010416532180997273,0.5055827619608448,0.0026813159233014822,0.5054419708839812,0.0009219483278156451
9,0.7705357245806882,0.002171948366935014,0.7708002662733445,0.00066028839579019,0.5025969900184295,0.0028987138296506427,0.502370374103835,0.001242498969653458
10,0.7713498567975542,0.0028218279527779883,0.7717089273159289,0.0006257330409502436,0.5001545470941597,0.0029564209000030955,0.4999103449732553,0.0010284541946318142
11,0.7717660734815195,0.0027855215315240934,0.7718968156568967,0.00046669328393742415,0.49871613235050943,0.002975722903459592,0.4983802245479714,0.0010750126595294005
12,0.7721389147183441,0.0030764203281566462,0.7719931602749212,0.0003918209166572704,0.49732918102653006,0.0032458326632172465,0.4969374137252709,0.0009726492483380588
13,0.7721750651861902,0.003007891910487776,0.7724151857945684,0.0006531125725307423,0.49629486915154997,0.00354578605177627,0.49582301600683876,0.0010101556828676236
14,0.7725317504240607,0.0026551002761939723,0.7726533642407019,0.0005410703180980982,0.49536435828703285,0.0033024286603468784,0.49484429072912783,0.0011730154550319304
15,0.773022356636209,0.0023081305399368507,0.7728510161667833,0.0006646967642991797,0.4944406530415857,0.0033148644525656822,0.49387007347338646,0.001185621358483473
16,0.7730461450546146,0.0023358624982528432,0.7732544436995468,0.0007406773177933154,0.49382812348159116,0.003471622982925485,0.4931693671873901,0.001178138610034691
17,0.7727932046118847,0.0025281292717748128,0.7730050251853192,0.0007752991284156775,0.49334583509169494,0.003480633285128772,0.4926030186941609,0.0012497598573375313
18,0.7730658332652001,0.0020758739482641627,0.7731261394801281,0.0005391681253915424,0.492841033453181,0.0036006585637395378,0.4920269174319013,0.0011760959686464487
19,0.77327943631816,0.0021122361425271654,0.7735366760935437,0.0008717785234171828,0.49217957860765926,0.003616794726799007,0.4913238957820264,0.0012112529178366887
20,0.7732743406634277,0.0020469921782910305,0.7735991372998247,0.0010138258560231136,0.4917189218238609,0.003575992305646252,0.4908251017719145,0.0012915377766493867
21,0.7733530065490188,0.0020115013149100487,0.7738306503467268,0.0009282075256227064,0.4912799146714944,0.003416449841853248,0.49035373842378016,0.0013760324739374656
22,0.7732643301711257,0.002517891723584357,0.773851252466921,0.0009047031244861163,0.4909445408063572,0.003529971726325238,0.48996069004881393,0.0013369132726674933
23,0.7737923265115592,0.002275283161881502,0.7739791983726448,0.0008243802096249778,0.4905243504160543,0.003557818878248165,0.48951173705197865,0.0013354951607990378
24,0.7738699131206181,0.002389438931914301,0.7742840362166963,0.0010075943091854638,0.4901301000445642,0.003665478340946095,0.4890473445592184,0.0012572958873682035
25,0.773794133044743,0.0025552475489187885,0.7743626109395378,0.0008993266584700886,0.4899023496600071,0.0036720034766056695,0.4887340391335292,0.0012411802000886422
26,0.7737262322349765,0.0025298130903848876,0.7744053280873335,0.000853347000447183,0.48971152220766767,0.003740525297211712,0.4884426511577057,0.0012596204833192684
27,0.7739058404520232,0.002362804196335576,0.774491989251775,0.0008675943489728675,0.48948530872932305,0.0037610483272197217,0.4881192030798463,0.0012563288463776536
28,0.7738803565204918,0.0021598343201859596,0.7746409493561845,0.0009417307217721644,0.48925096091831327,0.003863038466974918,0.4877751387074681,0.0012389081767716407
29,0.7737287467477821,0.0021124447218807767,0.7749073991211066,0.0012325763516412118,0.4889723054482131,0.0039048978191109363,0.48751651490323555,0.0012339236037034555
30,0.7738066981288715,0.0021961546451339698,0.7751407092379436,0.0011826094872309605,0.4887458012650777,0.003927771963416462,0.4872491502019674,0.0012383031223188118
31,0.7742600741169966,0.002472328287943245,0.7753820443185193,0.0011602349343493442,0.4885291780180898,0.003989026042021621,0.48700286610811616,0.0011657271711438552
32,0.7745184937928142,0.0022153868255134837,0.7754826959789092,0.0009745641178371048,0.4883834896162512,0.003970517792133407,0.4867899229722249,0.0011596620026494506
33,0.7747569405434584,0.002459008884164141,0.7756753420440947,0.0006085024884989318,0.48830667587292487,0.004003038469205079,0.4866174193280181,0.0011455167947988403
34,0.7747209762328657,0.0024202348630575497,0.7756662941778459,0.0005685144128534048,0.4882060276104795,0.00391549668750679,0.48641276355450874,0.0012088418542158263
35,0.7748922124110816,0.00248027052499588,0.7758561022111526,0.0005009205202515164,0.4880466854121209,0.003907934651476383,0.4861650064412467,0.0012491933779744835
36,0.7749504234804621,0.002598521526650565,0.7758290830008688,0.0006125972329905431,0.48798074034188216,0.00395816966389852,0.48601319863477876,0.0012253043116446814
37,0.7749776183010644,0.002794429637977082,0.7757795889722483,0.0005641683521545154,0.4878603992872632,0.003957278899162599,0.4858051469214414,0.0011896191606850532
38,0.7752172670028654,0.002605471846551795,0.7759552110770275,0.0006871622578667151,0.4877374340265936,0.003943673688995415,0.4856196181540846,0.0011478185390818676
39,0.7752827596245178,0.002416992387362843,0.7761199133391479,0.0008493334037421854,0.4876717370804305,0.003940990599747039,0.48546513895588284,0.001134746925880538
40,0.7751969645388782,0.002549345650044567,0.776201861075269,0.0008626466116128167,0.4875537932441321,0.00392512629702203,0.4852960549014407,0.0011186253636195252
41,0.7751865887023925,0.0024099256381788095,0.7762486560194496,0.0009363087807452155,0.4875029421000134,0.003919565863856973,0.4851310193072672,0.0010742088134378987
42,0.775096604691376,0.0026092208862135125,0.7762143387670909,0.0008371063848704225,0.48744747347731804,0.003969554134418429,0.48501952136867865,0.0010593715834972622
43,0.7749954444392454,0.002501051610337132,0.7763775540966034,0.0008599880429750446,0.48737700180081023,0.003978425331486367,0.48488076417432013,0.0010767127505493068
44,0.7751923057030025,0.002736100741571848,0.7764965123712393,0.0009241126866839606,0.48728238577859206,0.003990784876693353,0.4847243830740526,0.0010466410653842341
45,0.775225479123872,0.002655541423479643,0.7765133952110602,0.0009434420676879407,0.4872066545301178,0.003952690781782667,0.48458729237496667,0.0010874876044127586
46,0.7754044802906819,0.002445108879728054,0.776537180460821,0.0009583895644419548,0.48717226927072355,0.004003152237429014,0.4844582632726156,0.0010434804456165194
47,0.7756998803191724,0.0024560447807863133,0.7766076118827873,0.0010444478529496183,0.4871532996320074,0.004032427394597242,0.484377026661301,0.0010069480326305102
48,0.7755027724467333,0.0023194306671816176,0.7767024551294304,0.001089367664262377,0.4870547299766229,0.00406858650352509,0.4842299994198388,0.000998258719642929
49,0.7756089146144236,0.0024984400098359044,0.77678219405418,0.0010487865536370734,0.48702175763974187,0.0040806282759520696,0.48411929915262136,0.000997262021278714
50,0.7756424711158585,0.0026405889236274234,0.7766790742368549,0.0009887785233099636,0.4870136881954343,0.004104105801607667,0.4840287071311563,0.0009694696497897985
51,0.775799838131551,0.002515380911503111,0.7766767920000417,0.0010008105169009736,0.48697144256805325,0.004111087639865558,0.48395347091991886,0.000994625620958713
52,0.7757841016844543,0.002544203324567419,0.7766893724743132,0.001053991967161519,0.4869118837337276,0.004075055270539933,0.48388075726968827,0.0010136358855147318
53,0.7756811986294091,0.0025606487898171683,0.776795744194269,0.001000249679463272,0.486881802345683,0.004053259152760457,0.48379619616178926,0.0010194612270555386
54,0.7757615754879782,0.0025659885178943775,0.7767973520991222,0.0011407486177595716,0.48682060233564917,0.004062010341965522,0.4836828503467814,0.000998053227995086
55,0.775457925242564,0.002466431154438485,0.7769593178010737,0.0009882698125855123,0.48676510014872304,0.00410479838417642,0.4835210548774797,0.0010053849283932104
56,0.7754979578161778,0.0022337499861368186,0.7771601919344011,0.0009229853676029983,0.4867248628311237,0.00408353568220201,0.48341460150135634,0.0009762380387560276
57,0.775589013001826,0.002513412609649429,0.7772110010275506,0.0008305148645822402,0.48670856914904037,0.00407936711580292,0.4833107883732849,0.0009661139622160977
58,0.7757411129706373,0.0022959229473086674,0.7772148192301376,0.0008681993630935235,0.48667630250346294,0.004042527992999725,0.48322592786076973,0.0009990035247735662
59,0.7755054840922353,0.002607281829862803,0.7770845691759154,0.0008332211422856357,0.4866330099963821,0.00399317757894898,0.48314714553033794,0.0010152717729016417
