iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.0463145282411616,0.010367252456009661,0.046379486246683935,0.0037323838296189496,0.508525550314632,0.00019510525029031392,0.5085034925674241,0.0003482708587644011
1,0.033392620859542345,0.0063153508000332115,0.035645582024333246,0.01011854210385986,0.4051193154260081,0.00037304481486772294,0.40503113673169955,0.00040335773380126576
2,0.039346456084348946,0.00736011905330596,0.04045870230397207,0.012078765976725381,0.34465059369111783,0.0005808020052167081,0.3445896791523485,0.0004644225704403717
3,0.04997228012702075,0.006759430620402721,0.0514326713634984,0.004516204593332992,0.30836257797478794,0.0007053895367389244,0.3083091618316334,0.0003873626492419459
4,0.037498950399720635,0.004644917479589939,0.03793114882192154,0.0034976249395812786,0.28684444048555074,0.0007665087792156174,0.28686872235111727,0.00041860189242853043
5,0.03630923110761535,0.0042672754042492505,0.03728622625999432,0.003096046463686422,0.2707524542493044,0.0006051609344134564,0.2707291267348034,0.0010602697967861787
6,0.04290647962758381,0.003630233337910982,0.04382045690921389,0.0036949346011005027,0.25460474748658735,0.0006809450183768293,0.2545610655650542,0.0008440279383688837
7,0.05045896251394041,0.005988799087618438,0.05148737267288077,0.0021659487263676895,0.24528945701740149,0.0010448864540021266,0.2452274743827033,0.0009227811698987404
8,0.05933691373358739,0.006809389213913596,0.061166035491766246,0.004319985135789622,0.2398527887012621,0.0008189000893658792,0.23980829863236278,0.000516021279125084
9,0.06882229781950858,0.005325317424890644,0.06834730596704004,0.0032234614026417745,0.23614326412797548,0.0008764427875369727,0.2360775081851194,0.00048620853249701406
10,0.0753925680804031,0.005507775978713365,0.07551454636506273,0.0037537346404313944,0.23426079939092767,0.0010433169121661524,0.23415728128973864,0.0005275581271513941
11,0.08281244514244998,0.00490733637503701,0.08338817722606898,0.004254119863372719,0.23264818110638194,0.0008845402088954208,0.23253984459859903,0.0006006997406524874
12,0.08815566845590843,0.005198666916958498,0.08879541438057974,0.0054328015914916,0.2314874715047429,0.0011690519766386846,0.23137011338655494,0.00041271312508063063
13,0.09128990629855072,0.008287776922420342,0.09242407038592695,0.005134256139699577,0.23062407263813234,0.000985100029221672,0.2304807865234193,0.000617115831694293
14,0.096334200089269,0.00772803979827339,0.09845528029650685,0.004522593665982926,0.2300014533162778,0.0010809497129594403,0.229821205914218,0.0005914520785654935
15,0.10121708417044087,0.007548964507783205,0.10317003046272288,0.005112406511713125,0.22953872991891372,0.0010410452998273415,0.22935544391286994,0.0005375855524993782
16,0.10606389067535393,0.008485563403119385,0.10843082703697157,0.004538894162427696,0.22915639573125998,0.0010809793325368797,0.22894448838411882,0.0005943244388697326
17,0.10957019671504378,0.006896472770723725,0.11069157903538915,0.00504732046926421,0.22878955033855766,0.001093745273723782,0.22856361235756878,0.0004719830179026684
18,0.11178311796419535,0.005702261861799607,0.11404673452113537,0.005226158126402521,0.22847873474618066,0.0011315829451654124,0.22824358298009,0.000507333947309046
19,0.11258712916678096,0.005742692515493687,0.11521480037594237,0.004231958262022435,0.22824501022278318,0.0011957473179227509,0.2280164978078146,0.00045812215303964285
20,0.11581927907487718,0.004885615723931353,0.11774015445724244,0.00471217683375027,0.2280547911394737,0.0012828653213466706,0.22778295576257718,0.00041945500832643205
21,0.1180444078817982,0.004209771844945222,0.12063582952394772,0.005666873177708327,0.22784670236539784,0.0012499144950070373,0.22757563046718773,0.00043774548480664607
22,0.12002738886044066,0.0036788115360221843,0.12277014757466098,0.0049894728089411805,0.22761059193196767,0.0012198377983273934,0.22733763463280093,0.0004473634351271818
23,0.12091682629170117,0.004747268564516708,0.12376347114343415,0.004681844423474111,0.2275111599035784,0.0012399653262722599,0.2272139515089509,0.00042808941050580615
24,0.12236232327839096,0.0055610551850870105,0.12551487005546194,0.0033560084173493146,0.22733464266427128,0.0012602285678013044,0.22703964655497968,0.0004647538113295405
25,0.12420315587397983,0.004926666184560453,0.12707099568925076,0.004038851382853448,0.22724864166271536,0.001254985470027594,0.22692911937245785,0.00046200427877309854
26,0.12443993177953241,0.0047507080576639615,0.12836385945903186,0.0046271058315597085,0.22708318571085226,0.001304230754692755,0.22676714814306004,0.00042282879697163505
27,0.12685866646172558,0.005453867481269981,0.12915866626749595,0.005022681434408612,0.22699711217685326,0.0013083191995670025,0.22665888477630997,0.00042595004490125017
28,0.1277545827338979,0.004530343388611455,0.13071266775140525,0.004851628695721626,0.22689810573860775,0.001287214113117933,0.22654508241038993,0.00046741605430687227
29,0.1292508076837571,0.004483308615516966,0.13171426033519343,0.004978685161248815,0.22680003066721777,0.0013232506276984197,0.22642220548873304,0.00040969261679127064
30,0.13052085222358656,0.004051964517452368,0.13255293301330473,0.005233112038048566,0.22674270415763836,0.0013382180309941386,0.2263413282600887,0.000397183166321101
31,0.1307540755394077,0.0036036895406294594,0.13325625726760354,0.003875196549358147,0.22663837899121173,0.0013042587302959274,0.22622652653549843,0.0004122540996824934
32,0.13209278562285837,0.004004564781033669,0.13458433531365444,0.0038402628941980074,0.22656325161792315,0.0013577056010658079,0.22612018682861126,0.00039159038078686903
33,0.13309736651795537,0.005579976256543013,0.1358123574772113,0.002542678055881092,0.22649987850207626,0.0013444236528652159,0.2260493893301725,0.0003992027249120748
34,0.13400719544430745,0.005407880994738364,0.1369807374571862,0.002093298623216131,0.22641265962053064,0.0013329138534066138,0.22596928856272372,0.00040171817825094516
